id,date,title,image,context,hide
1,"August 20, 2026",Open Beta,,news-open-beta.txt,
2,"September 1, 2026",Patch Notes v1.1,,news-patch-1-1.txt,
3,"September 10, 2026",Community Event: Tyranny Wars,,news-tyranny-wars.txt,
